w,x,y,z,time
0.9999999637242465,-0.00010439450176017222,-0.00024109467410000432,-5.938561962321155e-05,0.0
0.9999998549937777,-0.0002088029460909894,-0.00048210388586356626,-0.00011827762558581676,0.076923136
0.999999675179422,-0.00031294181509848736,-0.0007229526924149011,-0.00017043437244756117,0.153846144
0.9999994260111738,-0.0004092499109720725,-0.0009634718597673361,-0.00022850341153305063,0.23076928
0.9999991046807957,-0.000512107650705487,-0.0012040543767584612,-0.00028042185858328405,0.307692288
0.9999987087239481,-0.0006206448938415172,-0.0014445814854983597,-0.0003324675679797788,0.384615424
0.9999982396760764,-0.0007244448713963886,-0.0016857180689719392,-0.00039265629812067004,0.461538432
0.9999976941054028,-0.0008309835313496692,-0.0019274926667384325,-0.00045389675881391786,0.538461568
0.9999970787990895,-0.0009345271102839625,-0.0021687802364046276,-0.0005152132119877519,0.6153845760000001
0.999996391380674,-0.0010372269486787458,-0.0024100318971069417,-0.0005771760056917501,0.6923077120000001
0.9999956324828907,-0.001139416244338154,-0.0026511482280025867,-0.0006388731006107606,0.76923072
0.9999948079166967,-0.0012362854159470086,-0.0028923301007622755,-0.0007001175669412105,0.846153856
0.9999939029483246,-0.0013391871339952222,-0.003133636307723377,-0.0007622122329212701,0.923076864
0.9999929100391839,-0.0014463808346843973,-0.0033764406829963293,-0.0008291575001447541,1.0
0.9999918492171967,-0.0015511445462753149,-0.0036186550450985266,-0.0008948661534939423,1.076923136
0.9999907322011053,-0.0016483646997011224,-0.003860183111521734,-0.0009578058569866466,1.153846144
0.99998954010206,-0.0017501266394703758,-0.004101085439875081,-0.0010187450275592495,1.23076928
0.9999882704620323,-0.0018535332356109796,-0.0043423813632502885,-0.0010803133775234227,1.307692288
0.9999869310127185,-0.0019558901192082714,-0.004583493858661142,-0.001141876374093579,1.3846154240000002
0.9999855212922886,-0.0020581562879694176,-0.00482443021311389,-0.0012025271735291794,1.461538432
0.9999840471797233,-0.0021577788487998615,-0.005064917977703794,-0.0012633219619747136,1.538461568
0.9999824799553504,-0.002251830497349005,-0.005311717768647628,-0.001324649427198692,1.615384576
0.9999808573386368,-0.0023518283512552656,-0.005552517587950092,-0.0013868699025799355,1.692307712
0.9999791637117221,-0.002452130018018415,-0.005793236512955443,-0.0014483133240856235,1.76923072
0.9999774069952077,-0.0025505268838161878,-0.006033487117503054,-0.001509087458988142,1.846153856
0.9999755735968958,-0.0026504599692753978,-0.006274001934468815,-0.0015697678925492616,1.923076864
0.9999736250963221,-0.0027506520987762963,-0.006520845316443187,-0.0016314414211251575,2.0
0.999971638431013,-0.002851495755156954,-0.006761819457077183,-0.0016938427269278286,2.076923136
0.9999695876933644,-0.002950756456922303,-0.0070024256213211435,-0.0017557790614441484,2.153846144
0.9999674697868555,-0.003049476199669494,-0.007242815174627581,-0.0018170556756180085,2.23076928
0.9999652831461299,-0.003147948905309226,-0.007483078316782196,-0.0018778868641795047,2.307692288
0.9999630434259715,-0.003245775681871377,-0.0077230308361173556,-0.001931713538750064,2.384615424
0.9999607336432008,-0.003341886287648841,-0.007962470760013699,-0.001990484159157584,2.461538432
0.9999583337996308,-0.0034397580930224433,-0.008202815430368418,-0.0020524492546901206,2.538461568
0.9999558241314833,-0.003541373001245134,-0.00844475890698005,-0.0021200258949732598,2.6153845760000003
0.9999532436676001,-0.0036424788486481862,-0.008686611065458276,-0.0021876047814754222,2.6923077120000003
0.9999506321060753,-0.00373869480771585,-0.008926864746119255,-0.002250910393601415,2.7692307200000004
0.9999479562298557,-0.003834866204153397,-0.009166822977200432,-0.002312572039004951,2.8461538560000004
0.9999452123083638,-0.0039303816725552755,-0.009406704080022657,-0.0023745314990480763,2.923076864
0.9999424089001402,-0.004025171117075877,-0.009646153306415326,-0.002434873066999839,3.0
0.9999395335523429,-0.004120141187632828,-0.009885673040186912,-0.0024954246651493696,3.076923136
0.9999365710053378,-0.004216330660477271,-0.010125816811013573,-0.00255819384693074,3.153846144
0.9999335176790028,-0.004314518008652876,-0.01036662105145879,-0.002622655986580481,3.23076928
0.9999304010108764,-0.004411570984439675,-0.010607166612262502,-0.0026868554365287872,3.307692288
0.9999272233733425,-0.004507487389651405,-0.010847384213825455,-0.002750412701305607,3.384615424
0.9999239699156408,-0.004603713267935919,-0.011087759556998382,-0.0028145692916173902,3.461538432
0.9999205882815282,-0.004700678177559652,-0.011334367763123828,-0.002872779630230074,3.538461568
0.9999171965743087,-0.004796767759876812,-0.011574563510095476,-0.002936067707643238,3.615384576
0.9999137466228682,-0.004891501992698144,-0.01181439317771429,-0.002998772534887701,3.692307712
0.9999102181910543,-0.00498712879946201,-0.012054444390492206,-0.003061776264232434,3.76923072
0.9999066159270295,-0.005082746761877727,-0.012294594964258236,-0.003125387236046907,3.846153856
0.9999029366680571,-0.005178798804600563,-0.012534916861849554,-0.0031895367693766247,3.923076864
0.9998991942271903,-0.005273910125292576,-0.012775035089132601,-0.00325357254068923,4.0
0.9998953075896343,-0.0053684441711085665,-0.013021098818708825,-0.00331732617716087,4.076923136
0.9998914377300101,-0.005461688714076962,-0.013260829935273596,-0.0033812867420114777,4.153846144
0.9998874852879748,-0.00555543534344327,-0.01350089903645149,-0.0034466836005337407,4.2307692800000005
0.9998834163293517,-0.005652173291371555,-0.013742129578751273,-0.003515758989126066,4.307692288
0.9998792067194959,-0.005749415499106437,-0.013989543347816862,-0.003578947936129277,4.384615424000001
0.9998750085379741,-0.005845913352583511,-0.01423033340849757,-0.003645573938830266,4.461538432
