roll_deg,pitch_deg,yaw_deg,time
0.01196437042541061,0.0276267042322724,0.006807975447107207,0.0
0.023933597724302633,0.05524220640640881,0.013565157306507964,0.076923136
0.0358746381796255,0.0828381662161742,0.01955628036399096,0.153846144
0.046921878841272496,0.11039503139209757,0.02622978028479387,0.23076928
0.0587220331039631,0.13795802190220047,0.03220470202144036,0.307692288
0.07117592506602116,0.16551321569286012,0.03820082956353067,0.384615424
0.08309147135530841,0.19313649085445944,0.04513521959115438,0.461538432
0.09532448497855614,0.2208312053965228,0.05219655518574254,0.538461568
0.10721771923852816,0.2484687876476248,0.059271732962964944,0.6153845760000001
0.11901788997821341,0.27610078270949384,0.06642649604580697,0.6923077120000001
0.13076295336478058,0.3037158881013048,0.07355635225851215,0.76923072
0.1419017000764498,0.3313375572297017,0.08063827218460336,0.846153856
0.15373550909209596,0.3589714602593158,0.08782520002908194,0.923076864
0.16606668658397936,0.3867743690397275,0.09557562045778739,1.0
0.17812264303088088,0.4145084983846718,0.10318923694819697,1.076923136
0.18931659211545077,0.44216377149133723,0.11048795262668351,1.153846144
0.2010335702693147,0.4697458120614471,0.11756486515680055,1.23076928
0.2129428494168513,0.49737120251546907,0.12472045837340569,1.307692288
0.2247353259567627,0.5249742611979241,0.13188062767356523,1.3846154240000002
0.23652039733729152,0.5525559273628916,0.13894189472937454,1.461538432
0.2480060108781563,0.5800851254174475,0.14602373375946698,1.538461568
0.25885800254480057,0.6083369722650551,0.153170439199836,1.615384576
0.2703946010784594,0.6358987606348409,0.16042703377302575,1.692307712
0.2819690597365798,0.6634500310862523,0.16760035990491629,1.76923072
0.29332822156838845,0.6909467622837191,0.17470115163353095,1.846153856
0.30486690960598384,0.7184721603752887,0.18179789641323188,1.923076864
0.3164407494510568,0.7467210284938829,0.18901626045594846,2.0
0.3280922983847452,0.7742955498416478,0.1963223588777566,2.076923136
0.3395656080391042,0.8018269530566661,0.20357944689625013,2.153846144
0.35097991965447506,0.8293324831134631,0.21076598334419258,2.23076928
0.36236906656744733,0.8568223692441579,0.21790676177929694,2.307692288
0.37368145769359024,0.8842780636063976,0.22424965732563681,2.384615424
0.38480470817225515,0.9116723197033825,0.23116285996154495,2.461538432
0.39613643882633925,0.9391672910470186,0.23844956266281644,2.538461568
0.40790659096455106,0.9668408931702357,0.24638915860340893,2.6153845760000003
0.4196223432194849,0.9945025985315057,0.25433423652683357,2.6923077120000003
0.4307768535882847,1.021982697436202,0.2617896252550028,2.7692307200000004
0.44192815310049166,1.049428298298224,0.2690618618230977,2.8461538560000004
0.4530081918281075,1.0768637651334936,0.27637291438527456,2.923076864
0.46400674362280886,1.1042493590848994,0.2835029334826578,3.0
0.47502979941252116,1.1316415886314384,0.29066260653094816,3.076923136
0.4861989359029144,1.1591025901850949,0.29808351437063496,3.153846144
0.4976029697804208,1.186636461139104,0.3057066034369219,3.23076928
0.5088804034680958,1.2141397448106022,0.31330365506947655,3.307692288
0.5200304656879622,1.2416047350222452,0.32083103631955134,3.384615424
0.531220575439282,1.2690860046036965,0.3284330334433933,3.461538432
0.5424936503111583,1.2972831249848118,0.3353633762818183,3.538461568
0.553674428228199,1.3247416139879065,0.3428765870903314,3.615384576
0.5647027052582466,1.3521575828533372,0.35032637447823367,3.692307712
0.5758375131366749,1.379597109639296,0.35781717049908307,3.76923072
0.5869759588359028,1.4070463111509546,0.365383060462844,3.846153856
0.5981687978201132,1.4345132904374815,0.37301686005499907,3.923076864
0.6092574028847794,1.4619559671039344,0.3806416055058199,4.0
0.6202856581200682,1.4900790183065586,0.38824233655149987,4.076923136
0.6311677274126144,1.5174753834361012,0.39586630439015164,4.153846144
0.642113540190636,1.5449080146845233,0.40366123032162754,4.2307692800000005
0.6534124398667327,1.5724687316948887,0.4118886502496031,4.307692288
0.6647665864455294,1.600740239035432,0.419451912440019,4.384615424000001
0.6760419919637921,1.6282492817637615,0.4274091155657445,4.461538432
0.6870709061698244,1.6556736090482105,0.4351398000185656,4.538461568000001
0.6979882405772357,1.6837664889846191,0.4428351348362582,4.615384576
0.7087423306902464,1.7110952614262398,0.45034704098295175,4.692307712
0.7194881619082243,1.738421617203131,0.45787454962814744,4.76923072
0.7302423638847576,1.76574643561698,0.4654033828245117,4.846153856
0.7409087707324368,1.7937460519317994,0.4729125426983515,4.923076864
0.7516738507572968,1.8210714692250196,0.480473345352967,5.0
0.7624482960367662,1.8484159432706058,0.4881600608605797,5.076923136
0.7732264421899899,1.875757357994791,0.49584474931771316,5.153846144
0.7839845566088899,1.9030953336639103,0.5035536336114349,5.2307692800000005
0.7948048955420807,1.9311690994227166,0.5114408139705819,5.307692288
0.8058452517223748,1.9593151836051237,0.5195485073971854,5.384615424000001
0.8169899195680568,1.9874880110367728,0.5277293961077874,5.461538432
0.8280613141303235,2.015630881197742,0.5351250326989395,5.538461568000001
0.8388523559488199,2.0429918414303376,0.5430490931678184,5.615384576
0.8494871445895787,2.070303092387028,0.5508746470737972,5.692307712000001
0.8602523445941119,2.097662874087708,0.5588685663435816,5.76923072
0.8710476197540672,2.1250493487128175,0.5670223512848688,5.846153856
0.8819768371466432,2.1524723546515117,0.5745725469932476,5.923076864
0.8927847841822302,2.179870095123554,0.5821316448397216,6.0
0.9035211366645648,2.2072225939268737,0.5902057267375006,6.076923136
0.9141276532196532,2.2345037189747696,0.5980104837636419,6.153846144
0.9244045368507194,2.2617027266692156,0.605041885460805,6.2307692800000005
0.9349081087831437,2.288987545759988,0.6123423584048333,6.307692288
