time,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z
0.0,-1.82,0.91,-1.33,56.0,6.0,995.0,-0.39000002,-0.1395,-0.384
0.076923136,-1.82,0.91,-1.33,61.0,4.0,997.0,-0.3876923105353728,-0.14065384704,-0.38169230592000003
0.15384614400000002,-1.82,0.91,-1.26,57.0,3.0,998.0,-0.387,-0.141,-0.37938461568
0.23076928000000002,-1.75,0.91,-1.33,56.0,7.0,995.0,-0.3860769216,-0.14146153919999999,-0.3789230784
0.30769228800000004,-1.82,0.91,-1.26,57.0,3.0,998.0,-0.38376923136,-0.1425,-0.381
0.38461542400000004,-1.89,0.91,-1.26,58.0,3.0,997.0,-0.38146153728,-0.1425,-0.381
0.46153843200000005,-1.82,0.91,-1.33,57.0,3.0,996.0,-0.38192307648,-0.1378846176,-0.38192307648
0.538461568,-1.82,0.91,-1.33,58.0,-4.0,1013.0,-0.38365384704,-0.13615384704,-0.38423077056
0.6153845760000001,-1.82,0.91,-1.33,60.0,4.0,993.0,-0.38388461952,-0.13776923136000002,-0.38723076864
0.6923077120000001,-1.82,0.91,-1.33,60.0,4.0,997.0,-0.37580769024,-0.13661538432,-0.38838461568
0.76923072,-1.82,0.91,-1.33,55.0,4.0,999.0,-0.375,-0.1365,-0.38746153920000004
0.846153856,-1.75,0.91,-1.33,59.0,2.0,1001.0,-0.37984615488,-0.13788461568000002,-0.38630769216
0.9230768640000001,-1.82,0.91,-1.33,59.0,6.0,997.0,-0.38515384704,-0.1360384704,-0.38584615296
1.0,-1.82,0.91,-1.33,59.0,4.0,994.0,-0.384,-0.1245,-0.387
1.076923136,-1.82,0.91,-1.33,57.0,7.0,996.0,-0.384,-0.12796154881231359,-0.38815384704
1.153846144,-1.75,0.91,-1.33,58.0,3.9999999999999996,996.0,-0.38480769216,-0.1346538497353856,-0.38688461568
1.23076928,-1.82,0.91,-1.33,55.0,4.0,997.0,-0.386884623753856,-0.1390384608,-0.3855
1.3076922880000001,-1.82,0.91,-1.33,58.0,0.9999999999999996,995.0,-0.39000002,-0.138,-0.38538461568
1.3846154240000002,-1.82,0.91,-1.33,59.0,4.0,997.0,-0.39000002,-0.138,-0.38423076864
1.461538432,-1.82,0.91,-1.33,57.0,0.0,1014.0,-0.3872307782523136,-0.13984615296,-0.384
1.538461568,-1.82,0.91,-1.33,59.0,6.0,996.0,-0.38434615296,-0.141,-0.3863077017723136
1.615384576,-1.75,0.84000003,-1.33,57.0,2.9999999999999996,994.0,-0.38319230592000003,-0.14076923136,-0.3902307855630848
1.692307712,-1.82,0.91,-1.33,59.0,6.0,995.0,-0.38665384704,-0.13961538432,-0.39138461721845763
