TIMESTAMP X(mg) Y(mg) Z(mg)
805153299611435520 -4 1056 15
805153299687779584 -2 1054 16
805153299764123648 -2 1058 16
805153299840467584 -4 1058 15
805153299916811648 -1 1056 15
805153299993155584 -2 1057 15
805153300069499648 -4 1056 17
805153300145843712 -4 1058 15
805153300222187648 -5 1055 12
805153300298531712 -3 1054 14
805153300374875776 -2 1057 14
805153300451219712 -4 1057 16
805153300527563776 -2 1056 14
805153300603907840 -2 1056 16
805153300680251776 -5 1056 14
805153300756595840 -4 1058 18
805153300832939904 -3 1055 15
805153300909283840 -2 1055 15
805153300985627904 -2 1054 13
805153301061971968 -3 1056 14
805153301138315904 -3 1057 14
805153301214659968 -2 1057 14
805153301291004032 -3 1056 14
805153301367347968 -2 1055 16
805153301443692032 -2 1058 16
805153301520036096 -3 1057 13
805153301596380032 -4 1055 15
805153301672724096 -1 1056 15
805153301749068032 -1 1058 15
805153301825412096 -4 1054 15
805153301901756160 -4 1056 15
805153301978100096 -3 1056 15
805153302054444160 -4 1059 16
805153302130788224 -4 1056 14
805153302207132160 -2 1056 15
805153302283476224 -5 1058 15
805153302359820288 -1 1056 13
805153302436164224 -3 1054 14
805153302512508288 -1 1057 15
805153302588852352 -2 1054 16
805153302665196288 -3 1056 13
805153302741540352 -3 1057 16
805153302817884416 -3 1057 15
805153302894228352 -2 1057 16
805153302970572416 -3 1055 17
805153303046916480 -4 1056 13
805153303123260416 -1 1059 16
805153303199604480 -3 1058 15
805153303275948544 -3 1058 15
805153303352292480 -1 1058 15
805153303428636544 -3 1056 15
805153303504980480 -1 1055 16
805153303581324544 -1 1059 14
805153303657668608 -3 1058 16
805153303734012544 -2 1056 14
805153303810356608 -1 1057 15
805153303886700672 -3 1056 17
805153303963044608 -3 1057 13
805153304039388672 -2 1057 15
805153304115732736 -3 1057 15
805153304192076672 -1 1057 16
805153304268420736 -2 1056 15
805153304344764800 0 1058 16
805153304421108736 -7 1055 13
805153304497452800 -3 1057 14
805153304573796864 -1 1056 16
805153304650140800 -3 1056 15
805153304726484864 -4 1054 13
805153304802828928 -3 1058 17
805153304879172864 -3 1057 15
805153304955516928 -1 1058 15
805153305031860992 -2 1056 15
805153305108204928 -1 1059 16
805153305184548992 -4 1056 16
805153305260892928 -7 1055 15
805153305337236992 -3 1058 15
805153305413581056 -1 1056 16
805153305489924992 1 1054 18
805153305566269056 -3 1059 14
805153305642613120 -3 1058 12
805153305718957056 -3 1055 15
805153305795301120 -5 1056 17
805153305871645184 -2 1057 15
805153305947989120 -3 1058 14
805153306024333184 -4 1057 17
805153306100677248 -3 1057 14
805153306177021184 -5 1058 15
