TIMESTAMP X(Gauss) Y(Gauss) Z(Gauss)
805153301345182976 -1.5270001 -0.051 -0.5535
805153301445182976 -1.5270001 -0.051 -0.555
805153301545182976 -1.5225 -0.0495 -0.555
805153301645182976 -1.521 -0.051 -0.552
805153301745182976 -1.521 -0.052500002 -0.555
805153301845182976 -1.5225 -0.052500002 -0.558
805153301945182976 -1.5225 -0.054 -0.5565
805153302045182976 -1.5225 -0.052500002 -0.5565
805153302145182976 -1.521 -0.0495 -0.5565
805153302245182976 -1.5270001 -0.042 -0.5565
805153302345182976 -1.5255 -0.0405 -0.5625
805153302445182976 -1.518 -0.045 -0.561
805153302545182928 -1.521 -0.0495 -0.558
805153302647026048 -1.5225 -0.0495 -0.558
805153302748869120 -1.521 -0.0465 -0.558
805153302850712320 -1.518 -0.048 -0.5565
805153302952555392 -1.524 -0.0555 -0.5565
805153303054398464 -1.5255 -0.054 -0.558
805153303156241664 -1.521 -0.0495 -0.5595
805153303258084736 -1.5105 -0.051 -0.561
805153303359927936 -1.5135 -0.0495 -0.5595
805153303461771008 -1.5225 -0.0495 -0.552
805153303563614080 -1.5270001 -0.052500002 -0.5535
805153303665457280 -1.5195 -0.051 -0.5595
805153303767300352 -1.5195 -0.048 -0.5595
805153303869143424 -1.5255 -0.0465 -0.5565
805153303970986624 -1.5255 -0.048 -0.5565
805153304072829696 -1.5270001 -0.052500002 -0.5565
805153304174672896 -1.5285 -0.0555 -0.5565
805153304276515968 -1.5270001 -0.051 -0.558
805153304378359040 -1.524 -0.045 -0.5595
805153304480202240 -1.5285 -0.0465 -0.561
805153304582045312 -1.5255 -0.0495 -0.5565
805153304683888384 -1.5075 -0.048 -0.558
805153304785731584 -1.5075 -0.048 -0.5595
805153304887574656 -1.5015 -0.048 -0.558
805153304989417728 -1.494 -0.0495 -0.558
805153305091260928 -1.5105 -0.048 -0.5565
805153305193104000 -1.518 -0.052500002 -0.558
805153305294947200 -1.524 -0.0585 -0.5535
805153305396790272 -1.521 -0.0555 -0.552
805153305498633344 -1.5195 -0.048 -0.5565
805153305600476544 -1.5195 -0.0465 -0.5565
805153305702319616 -1.5195 -0.052500002 -0.558
805153305804162688 -1.521 -0.052500002 -0.561
805153305906005888 -1.5225 -0.051 -0.558
805153306007848960 -1.5255 -0.054 -0.555
805153306109692160 -1.524 -0.052500002 -0.555
805153306211535232 -1.524 -0.051 -0.558
805153306313378304 -1.5225 -0.0465 -0.5565
805153306415221504 -1.521 -0.045 -0.5595
805153306517064576 -1.5225 -0.0495 -0.558
805153306618907648 -1.5255 -0.0465 -0.555
805153306720750848 -1.5105 -0.0345 -0.5505
805153306822593920 -1.5090001 -0.039 -0.5505
805153306924436992 -1.524 -0.051 -0.558
805153307026280192 -1.521 -0.052500002 -0.5595
805153307128123264 -1.5225 -0.052500002 -0.558
805153307229966464 -1.5255 -0.054 -0.558
805153307331809536 -1.5225 -0.0495 -0.555
805153307433652608 -1.524 -0.048 -0.552
805153307535495808 -1.5255 -0.0495 -0.5565
805153307637338880 -1.521 -0.0495 -0.5565
805153307739181952 -1.518 -0.051 -0.555
805153307841025152 -1.5255 -0.051 -0.555
805153307942868224 -1.5270001 -0.0495 -0.5565
805153308044711296 -1.515 -0.051 -0.552
805153308146554496 -1.5165 -0.0585 -0.5535
805153308248397568 -1.5195 -0.060000002 -0.555
805153308350240768 -1.524 -0.0555 -0.558
805153308452083840 -1.5270001 -0.0555 -0.558
805153308553926912 -1.521 -0.051 -0.5565
805153308655770112 -1.5195 -0.0495 -0.5565
805153308757613184 -1.524 -0.048 -0.558
805153308859456256 -1.5255 -0.0465 -0.558
805153308961299456 -1.5255 -0.0465 -0.5565
805153309063142528 -1.524 -0.048 -0.555
805153309164985728 -1.5225 -0.0495 -0.558
805153309266828800 -1.521 -0.054 -0.561
805153309368671872 -1.5195 -0.0555 -0.5595
805153309470515072 -1.5195 -0.048 -0.555
805153309572358144 -1.5225 -0.045 -0.552
805153309674201216 -1.5195 -0.052500002 -0.555
805153309776044416 -1.521 -0.057 -0.564
805153309877887488 -1.5225 -0.051 -0.564
805153309979730560 -1.5195 -0.0495 -0.5595
805153310081573760 -1.5195 -0.052500002 -0.5595
805153310183416832 -1.518 -0.051 -0.5655
805153310285260032 -1.515 -0.0495 -0.57
805153310387103104 -1.5090001 -0.0555 -0.5715
805153310488946176 -1.497 -0.0585 -0.579
805153310590789376 -1.491 -0.0555 -0.5865
805153310692632448 -1.4835 -0.054 -0.594
805153310794475520 -1.467 -0.0555 -0.603
805153310896318720 -1.452 -0.0555 -0.6165
805153310998161792 -1.4355 -0.0585 -0.63
805153311100004992 -1.413 -0.064500004 -0.6405
805153311201848064 -1.395 -0.064500004 -0.6465
805153311303691136 -1.38 -0.063 -0.6555
805153311405534336 -1.362 -0.064500004 -0.663
