TIMESTAMP X(mg) Y(mg) Z(mg)
805151393401898624 -1023 2 -77
805151393478233600 -1029 1 -75
805151393554568576 -1025 0 -99
805151393630903552 -1025 -6 -101
805151393707238656 -881 214 -171
805151393783573632 -1025 -17 -115
805151393859908608 -1031 -11 -98
805151393936243584 -1032 -14 -73
805151394012578560 -1025 -29 -107
805151394088913664 -1020 -30 -95
805151394165248640 -1026 -65 -87
805151394241583616 -1019 -98 -127
805151394317918592 -1016 -87 -88
805151394394253568 -992 -246 -180
805151394470588544 -1021 -42 -137
805151394546923648 -1021 -37 -121
805151394623258624 -1020 -33 -141
805151394699593600 -1022 -22 -96
805151394775928576 -1029 -26 -105
805151394852263552 -1031 -31 -103
805151394928598656 -1034 17 -35
805151395004933632 -1006 -4 -124
805151395081268608 -1029 -5 -85
805151395157603584 -1031 -2 -48
805151395233938560 -1131 -64 -209
805151395310273664 -1059 -23 31
805151395386608640 -1024 28 218
805151395462943616 -1018 -35 134
805151395539278592 -1027 9 -20
805151395615613568 -1123 -106 -110
805151395691948544 -989 -110 20
805151395768283648 -1025 13 -77
805151395844618624 -1011 -34 83
805151395920953600 -1041 20 114
805151395997288576 -1023 9 49
805151396073623552 -1283 -63 126
805151396149958656 -1026 64 30
805151396226293632 -1033 40 55
805151396302628608 -1026 68 38
805151396378963584 -1031 98 39
805151396455298560 -1033 94 31
805151396531633664 -1036 130 20
805151396607968640 -1090 16 92
805151396684303616 -1030 131 27
805151396760638592 -1027 120 82
805151396836973568 -1014 128 90
805151396913308672 -1040 121 56
805151396989643648 -1027 138 66
805151397065978624 -1061 37 160
805151397142313679 -1010 118 69
805151397218649088 -1031 102 40
805151397294984448 -1033 92 55
805151397371319808 -1036 86 1
805151397447655296 -1030 95 20
805151397523990656 -1029 98 11
805151397600326016 -1042 74 22
805151397676661376 -1022 117 29
805151397752996736 -1025 113 47
805151397829332224 -1028 110 43
805151397905667584 -1033 112 5
805151397982002944 -1031 106 26
805151398058338304 -1031 104 25
805151398134673664 -1037 102 46
805151398211009152 -1030 95 20
805151398287344512 -973 -31 -65
805151398363679872 -1028 88 -32
805151398440015232 -1034 96 -16
805151398516350592 -1025 68 45
805151398592686080 -1035 73 18
805151398669021440 -1034 52 46
805151398745356800 -1034 37 3
805151398821692160 -1029 -9 5
805151398898027520 -1038 -26 53
805151398974363008 -1027 -16 15
805151399050698368 -1026 -39 -10
805151399127033728 -1025 -85 28
805151399203369088 -1026 -67 44
805151399279704448 -1022 -50 48
805151399356039936 -1023 -57 43
805151399432375296 -1024 -65 42
805151399508710656 -1026 -69 16
805151399585046016 -1027 -60 39
805151399661381376 -1046 -22 2
805151399737716864 -1067 -46 -80
805151399814052224 -1004 -101 52
805151399890387584 -1021 -45 -85
805151399966722944 -981 -112 35
805151400043058304 -1031 25 -94
805151400119393792 -1025 37 -99
805151400195729152 -1021 30 -114
805151400272064512 -1038 10 -23
805151400348399872 -1019 15 -121
