TIMESTAMP X(mg) Y(mg) Z(mg)
805125894406937344 -126 156 988
805125894483275008 7 25 1031
805125894559612800 43 25 1060
805125894635950464 -2 81 1006
805125894712288256 -6 61 1008
805125894788625920 11 30 1016
805125894864963712 8 79 983
805125894941301376 -7 61 1004
805125895017639168 -8 65 1005
805125895093976832 -7 61 1005
805125895170314624 -6 59 1005
805125895246652288 -2 63 1002
805125895322990080 -5 59 1005
805125895399327744 -6 62 1003
805125895475665536 -6 61 1006
805125895552003200 -6 60 1005
805125895628340992 -3 61 1005
805125895704678656 -7 60 1004
805125895781016448 -5 62 1005
805125895857354112 -5 61 1003
805125895933691904 -5 62 1003
805125896010029568 -8 63 1004
805125896086367360 -3 62 1003
805125896162705024 -7 61 1003
805125896239042688 -3 62 1005
805125896315380544 -5 62 1000
805125896391717760 -5 62 1004
805125896468055040 -6 62 1006
805125896544392320 -6 61 1005
805125896620729600 -6 63 1004
805125896697066880 -5 63 1005
805125896773404160 -4 62 1003
805125896849741440 -6 60 1003
805125896926078848 -6 63 1004
805125897002416128 -38 64 1036
805125897078753408 -81 105 1072
805125897155090688 11 8 1143
805125897231427968 -89 51 1052
805125897307765248 -31 -65 991
805125897384102528 -31 65 833
805125897460439808 28 -95 1113
805125897536777088 50 18 1043
805125897613114368 8 42 993
805125897689451648 22 45 1019
805125897765788928 -1 61 1005
805125897842126208 41 -25 1241
805125897918463488 20 53 979
805125897994800896 -170 -5 1178
805125898071138176 -14 113 896
805125898147475456 -82 -10 750
805125898223812736 2 22 1071
805125898300150016 40 -55 1031
805125898376487296 58 -2 1016
805125898452824576 -30 -10 931
805125898529161856 0 148 1384
805125898605499136 -50 53 1099
805125898681836416 -13 64 994
805125898758173696 -18 66 918
805125898834510976 -7 45 1007
805125898910848256 -21 63 1276
805125898987185536 -18 104 1035
805125899063522944 -12 -71 1303
805125899139860224 -20 140 937
805125899216197504 -76 77 1024
805125899292534784 1 55 1007
805125899368872064 -5 59 1005
805125899445209344 -4 58 1004
805125899521546624 -4 58 1004
805125899597883904 -4 59 1007
805125899674221184 -3 60 1000
805125899750558464 -6 56 997
805125899826895744 -4 60 1005
805125899903233024 -2 58 1005
805125899979570304 -2 59 1002
805125900055907584 0 9 1033
805125900132244992 6 133 863
805125900208582272 -5 -31 1280
805125900284919552 -41 -95 1461
805125900361256832 -18 30 992
805125900437594112 -16 -74 1777
805125900513931392 -17 63 997
805125900590268672 11 56 1153
805125900666605952 3 115 957
805125900742943232 2 61 1001
805125900819280512 -2 59 1003
805125900895617792 -3 58 1004
805125900971955072 -2 58 1004
805125901048292352 -3 59 1006
805125901124629632 -3 60 1003
805125901200967040 -4 61 1006
805125901277304320 -96 -29 1062
805125901353641600 5 55 1014
805125901429978880 35 34 963
805125901506316160 -19 -3 1038
